X;Y
143.18;212.98
145.10;212.59
147.02;212.21
147.16;212.18
149.06;211.70
150.95;211.22
151.10;211.18
152.97;210.61
154.84;210.04
154.99;210.00
156.83;209.33
158.67;208.67
158.82;208.62
160.62;207.87
162.43;207.11
162.58;207.05
164.35;206.21
166.11;205.37
166.26;205.30
167.99;204.37
169.71;203.45
169.86;203.36
171.54;202.36
173.22;201.35
173.37;201.26
174.99;200.16
176.62;199.07
176.77;198.97
178.34;197.80
179.91;196.63
180.05;196.52
181.56;195.28
183.07;194.03
183.22;193.92
184.66;192.60
186.12;191.28
186.26;191.15
187.64;189.76
189.02;188.38
189.16;188.24
190.47;186.78
191.78;185.33
191.91;185.18
193.15;183.66
194.39;182.15
194.52;181.99
195.68;180.41
196.85;178.84
196.97;178.67
198.05;177.04
199.14;175.41
199.26;175.23
200.26;173.55
201.26;171.87
201.37;171.68
202.29;169.95
203.21;168.22
203.32;168.02
204.15;166.25
204.98;164.48
205.08;164.27
205.83;162.46
206.57;160.65
206.66;160.44
207.31;158.59
207.97;156.75
208.05;156.52
208.61;154.65
209.18;152.77
209.25;152.54
209.72;150.64
210.19;148.74
210.24;148.50
210.62;146.58
211.00;144.66
211.05;144.42
211.33;142.48
211.61;140.54
211.65;140.29
211.84;138.34
212.02;136.39
212.05;136.13
212.14;134.18
212.23;132.22
212.24;131.96
212.24;130.00
212.23;128.04
212.23;127.77
212.13;125.82
212.03;123.86
212.01;123.59
211.82;121.64
211.62;119.69
211.59;119.42
211.30;117.48
211.01;115.55
210.97;115.27
210.58;113.35
210.19;111.43
210.13;111.15
209.65;109.25
209.17;107.35
209.10;107.07
208.53;105.20
207.95;103.33
207.87;103.05
207.20;101.20
206.54;99.36
206.44;99.08
205.68;97.27
204.93;95.47
204.81;95.19
203.97;93.42
203.13;91.65
202.99;91.37
202.07;89.65
201.14;87.92
200.99;87.65
199.98;85.97
198.97;84.30
198.80;84.02
197.71;82.40
196.62;80.77
196.44;80.51
195.27;78.94
194.10;77.37
193.90;77.11
192.65;75.60
191.41;74.09
191.20;73.83
189.88;72.38
188.56;70.94
188.33;70.69
186.94;69.31
185.56;67.93
185.31;67.69
183.86;66.38
182.40;65.07
182.15;64.84
180.63;63.60
179.11;62.36
178.84;62.14
177.27;60.98
175.69;59.82
175.40;59.61
173.77;58.52
172.14;57.44
171.84;57.24
170.16;56.24
168.48;55.24
168.17;55.06
166.44;54.14
164.71;53.22
164.38;53.05
162.61;52.22
160.84;51.39
160.50;51.23
158.69;50.48
156.88;49.74
156.53;49.60
154.69;48.94
152.84;48.29
152.48;48.16
150.61;47.60
148.73;47.04
148.36;46.93
146.46;46.46
144.56;45.99
144.18;45.90
142.26;45.52
140.34;45.14
139.95;45.07
138.01;44.79
136.08;44.51
135.68;44.45
133.73;44.26
131.78;44.08
131.38;44.04
129.43;43.95
127.47;43.86
127.06;43.84
125.10;43.85
123.15;43.85
122.73;43.86
120.78;43.96
118.82;44.06
118.41;44.08
116.46;44.28
114.51;44.48
114.09;44.52
112.16;44.82
110.22;45.11
109.80;45.18
107.88;45.56
105.96;45.95
105.54;46.04
103.64;46.52
101.75;47.00
101.32;47.11
99.45;47.69
97.58;48.26
97.16;48.39
